city,date,death,temp,dewpoint,pm10,o3,time,season
chic,1/1/1987,130,31.5,31.5,27.79119437,4.025928087,1,winter
chic,1/2/1987,150,33,29.875,NA,4.579652287,2,winter
chic,1/3/1987,101,33,27.375,33.67381559,3.400928087,3,winter
chic,1/4/1987,135,29,28.625,40.79119437,3.942594747,4,winter
chic,1/5/1987,126,32,28.875,NA,4.400928087,5,winter
chic,1/6/1987,130,40,35.125,41.79119437,5.984261417,6,winter
chic,1/7/1987,129,34.5,26.75,34.79119437,8.243867977,7,winter
chic,1/8/1987,109,29,22,29.79119437,11.4477387,8,winter
chic,1/9/1987,125,26.5,29,33.18389144,3.525928087,9,winter
chic,1/10/1987,153,32.5,27.75,NA,5.037985627,10,winter
chic,1/11/1987,124,29.5,20.125,15.79119438,17.90607203,11,winter
chic,1/12/1987,111,34.5,26,19.79119438,7.989405367,12,winter
chic,1/13/1987,104,34,32.25,46.79119437,6.572738697,13,winter
chic,1/14/1987,118,37.5,36.375,36.79119437,4.989405367,14,winter
chic,1/15/1987,109,32.5,24.25,27.77232166,4.906072027,15,winter
chic,1/16/1987,125,25,21.5,12.79119438,8.614405367,16,winter
chic,1/17/1987,128,27,24.75,NA,6.239405367,17,winter
chic,1/18/1987,141,17.5,11.125,32.79119437,6.614405367,18,winter
chic,1/19/1987,130,23,15.75,25.79119437,15.98426142,19,winter
chic,1/20/1987,133,20.5,11.5,31.79119437,5.204652287,20,winter
chic,1/21/1987,115,22,20.625,32.82308581,6.624942147,21,winter
chic,1/22/1987,121,19.5,7.375,45.79119437,10.98940537,22,winter
chic,1/23/1987,107,2.5,-12.25,48.79119437,15.69259475,23,winter
chic,1/24/1987,123,2,-5.625,31.79119437,11.35926142,24,winter
chic,1/25/1987,107,9.5,-5.25,NA,7.822738697,25,winter
chic,1/26/1987,116,16,4.75,64.79119437,4.859261417,26,winter
chic,1/27/1987,130,17.5,17.75,37.1532669,3.781072027,27,winter
chic,1/28/1987,114,29.5,18.25,40.79119437,6.900928087,28,winter
chic,1/29/1987,123,29.5,32.875,28.79119437,3.550011427,29,winter
chic,1/30/1987,103,32.5,24.125,52.79119437,9.031072027,30,winter
chic,1/31/1987,115,27.5,26.5,29.79119437,8.371318957,31,winter
chic,2/1/1987,127,41,32.25,NA,6.037985627,32,winter
chic,2/2/1987,131,36.5,34,41.06360714,3.662985627,33,winter
chic,2/3/1987,112,34,26.25,52.79119437,8.447738697,34,winter
chic,2/4/1987,126,31.5,24.25,32.15451825,9.784528827,35,winter
chic,2/5/1987,127,29.5,27.25,63.79119437,4.451195497,36,winter
chic,2/6/1987,103,37,30.375,56.79119437,4.794492597,37,winter
chic,2/7/1987,128,40.5,35.75,37.79119437,4.388695497,38,winter
chic,2/8/1987,133,32.5,3.5,18.0751537,24.11786216,39,winter
chic,2/9/1987,115,24.5,17.375,35.79119437,8.305362157,40,winter
chic,2/10/1987,124,35,27.375,29.79119437,7.117862157,41,winter
chic,2/11/1987,117,39.5,29.375,76.79119437,6.731745557,42,winter
chic,2/12/1987,116,34,24.75,77.79119437,6.138695497,43,winter
chic,2/13/1987,128,34.5,30.875,32.79119437,9.376014337,44,winter
chic,2/14/1987,119,31.5,22,23.30727557,10.11786216,45,winter
